main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	sediment_marine_cold	marine	Water	high	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	pH	high	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	salinity variability	small	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	temp variability	low	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	water variability	permanently wet	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_contaminated	marine	Gradients	high	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	Salinity	high	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	Structural	medium	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	Water	high	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	pH	high	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	salinity variability	small	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_contaminated	marine	water variability	permanently wet	ENVO:03000033|ENVO:00002114	marine sediment|contaminated sediment
Aquatic	sediment_marine_deep	marine	Gradients	high	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	Pressure	high	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	Salinity	high	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	Structural	medium	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	Temperature	low	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	Water	high	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	pH	high	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	salinity variability	small	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	temp variability	low	ENVO:00002113	deep marine sediment
Aquatic	sediment_marine_deep	marine	water variability	permanently wet	ENVO:00002113	deep marine sediment
