prego_id	rank	taxon_id	taxon_label	prego_score	direct_flag	channels	corroborated_by
BTO:0000090	2	NCBITaxon:1333660	Endozoicomonas atrinae	3	TRUE	annotated_genomes_isolates	
BTO:0000090	3	NCBITaxon:7719		3	TRUE	annotated_genomes_isolates	
BTO:0000091	1	NCBITaxon:1096995	Acinetobacter baumannii BJAB07104	3	TRUE	annotated_genomes_isolates	
BTO:0000091	2	NCBITaxon:1096996	Acinetobacter baumannii BJAB0715	3	TRUE	annotated_genomes_isolates	
BTO:0000091	3	NCBITaxon:1096997	Acinetobacter baumannii BJAB0868	3	TRUE	annotated_genomes_isolates	
BTO:0000091	4	NCBITaxon:1231058	Vibrio diabolicus E0666	3	TRUE	annotated_genomes_isolates	
BTO:0000091	5	NCBITaxon:401472	Corynebacterium ureicelerivorans	3	TRUE	annotated_genomes_isolates	
BTO:0000109	1	NCBITaxon:114615	Bradyrhizobium sp. ORS 278	3	TRUE	annotated_genomes_isolates	
BTO:0000109	2	NCBITaxon:1245469	Bradyrhizobium oligotrophicum S58	3	TRUE	annotated_genomes_isolates	
BTO:0000109	3	NCBITaxon:438753	Azorhizobium caulinodans ORS 571	3	TRUE	annotated_genomes_isolates	
BTO:0000120	1	NCBITaxon:1810840	Piscirickettsiaceae bacterium NZ-RLO1	3	TRUE	annotated_genomes_isolates	
BTO:0000121	1	NCBITaxon:282199	Nereida ignava	3	TRUE	annotated_genomes_isolates	
BTO:0000121	2	NCBITaxon:440512		3	TRUE	annotated_genomes_isolates	
BTO:0000121	3	NCBITaxon:470	Acinetobacter baumannii	3	TRUE	annotated_genomes_isolates	
BTO:0000122	1	NCBITaxon:257758	Streptococcus pseudopneumoniae	3	TRUE	annotated_genomes_isolates	
BTO:0000123	1	NCBITaxon:1206108	Escherichia coli J96	3	TRUE	annotated_genomes_isolates	
BTO:0000123	2	NCBITaxon:1286329	Escherichia coli TOP379	3	TRUE	annotated_genomes_isolates	
BTO:0000123	3	NCBITaxon:1286330	Escherichia coli TOP382-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	4	NCBITaxon:1286331	Escherichia coli TOP382-2	3	TRUE	annotated_genomes_isolates	
BTO:0000123	5	NCBITaxon:1286332	Escherichia coli TOP382-3	3	TRUE	annotated_genomes_isolates	
BTO:0000123	6	NCBITaxon:1286333	Escherichia coli TOP291	3	TRUE	annotated_genomes_isolates	
BTO:0000123	7	NCBITaxon:1286334	Escherichia coli TOP293-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	8	NCBITaxon:1286335	Escherichia coli TOP293-2	3	TRUE	annotated_genomes_isolates	
BTO:0000123	9	NCBITaxon:1286336	Escherichia coli TOP293-3	3	TRUE	annotated_genomes_isolates	
BTO:0000123	10	NCBITaxon:1286337	Escherichia coli TOP293-4	3	TRUE	annotated_genomes_isolates	
BTO:0000123	11	NCBITaxon:1286338	Escherichia coli TOP498	3	TRUE	annotated_genomes_isolates	
BTO:0000123	12	NCBITaxon:1286339	Escherichia coli TOP550-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	13	NCBITaxon:1286340	Escherichia coli TOP550-2	3	TRUE	annotated_genomes_isolates	
BTO:0000123	14	NCBITaxon:1286341	Escherichia coli TOP550-3	3	TRUE	annotated_genomes_isolates	
BTO:0000123	15	NCBITaxon:1286342	Escherichia coli TOP550-4	3	TRUE	annotated_genomes_isolates	
BTO:0000123	16	NCBITaxon:1286343	Escherichia coli TOP2386	3	TRUE	annotated_genomes_isolates	
BTO:0000123	17	NCBITaxon:1286344	Escherichia coli TOP2396-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	18	NCBITaxon:1286345	Escherichia coli TOP2396-2	3	TRUE	annotated_genomes_isolates	
BTO:0000123	19	NCBITaxon:1286346	Escherichia coli TOP2396-3	3	TRUE	annotated_genomes_isolates	
BTO:0000123	20	NCBITaxon:1286347	Escherichia coli TOP2515	3	TRUE	annotated_genomes_isolates	
BTO:0000123	21	NCBITaxon:1286348	Escherichia coli TOP2522-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	22	NCBITaxon:1286350	Escherichia coli TOP2652	3	TRUE	annotated_genomes_isolates	
BTO:0000123	23	NCBITaxon:1286351	Escherichia coli TOP2662-1	3	TRUE	annotated_genomes_isolates	
BTO:0000123	24	NCBITaxon:1286352	Escherichia coli TOP2662-2	3	TRUE	annotated_genomes_isolates	
BTO:0000123	25	NCBITaxon:1286353	Escherichia coli TOP2662-3	3	TRUE	annotated_genomes_isolates	
BTO:0000125	1	NCBITaxon:1123383	Pseudothermotoga elfii DSM 9442 = NBRC 107921	3	TRUE	annotated_genomes_isolates	
BTO:0000125	2	NCBITaxon:1123384	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	3	TRUE	annotated_genomes_isolates	
BTO:0000125	3	NCBITaxon:1189612	Indibacter alkaliphilus LW1	3	TRUE	annotated_genomes_isolates	
BTO:0000125	4	NCBITaxon:1322346	Glaesserella parasuis ZJ0906	3	TRUE	annotated_genomes_isolates	
BTO:0000125	5	NCBITaxon:1408159	Pseudothermotoga caldifontis AZM44c09	3	TRUE	annotated_genomes_isolates	
BTO:0000125	6	NCBITaxon:1408160	Thermotoga profunda AZM34c06	3	TRUE	annotated_genomes_isolates	
BTO:0000125	7	NCBITaxon:1497681	Paenilisteria newyorkensis	3	TRUE	annotated_genomes_isolates	
BTO:0000125	8	NCBITaxon:1552123	Listeria booriae	3	TRUE	annotated_genomes_isolates	
BTO:0000125	9	NCBITaxon:1585974	Beduini massiliensis	3	TRUE	annotated_genomes_isolates	
BTO:0000125	10	NCBITaxon:187452	Pediococcus claussenii	3	TRUE	annotated_genomes_isolates	
BTO:0000125	11	NCBITaxon:240427	Secundilactobacillus paracollinoides	3	TRUE	annotated_genomes_isolates	
BTO:0000125	12	NCBITaxon:375175	Loigolactobacillus backii	3	TRUE	annotated_genomes_isolates	
BTO:0000125	13	NCBITaxon:478010	Microterricola pindariensis	3	TRUE	annotated_genomes_isolates	
BTO:0000125	14	NCBITaxon:51663	Pediococcus damnosus	3	TRUE	annotated_genomes_isolates	
BTO:0000125	15	NCBITaxon:53444	Fructilactobacillus lindneri	3	TRUE	annotated_genomes_isolates	
BTO:0000125	16	NCBITaxon:562	Escherichia coli	3	TRUE	annotated_genomes_isolates	
BTO:0000125	17	NCBITaxon:582	Morganella morganii	3	TRUE	annotated_genomes_isolates	
BTO:0000125	18	NCBITaxon:758793	Caballeronia insecticola	3	TRUE	annotated_genomes_isolates	
BTO:0000130	1	NCBITaxon:1194085	Staphylococcus aureus subsp. aureus SA40	3	TRUE	annotated_genomes_isolates	
BTO:0000130	2	NCBITaxon:1201010	Staphylococcus aureus subsp. aureus SA957	3	TRUE	annotated_genomes_isolates	
BTO:0000130	3	NCBITaxon:1221451	Staphylococcus aureus subsp. aureus 120	3	TRUE	annotated_genomes_isolates	
BTO:0000130	4	NCBITaxon:1221452	Staphylococcus aureus subsp. aureus 333	3	TRUE	annotated_genomes_isolates	
BTO:0000130	5	NCBITaxon:1221453	Staphylococcus aureus subsp. aureus 3989	3	TRUE	annotated_genomes_isolates	
BTO:0000130	6	NCBITaxon:1329902	Mannheimia haemolytica MhBrain2012	3	TRUE	annotated_genomes_isolates	
BTO:0000130	7	NCBITaxon:1367494	Pseudomonas aeruginosa PAO1-VE13	3	TRUE	annotated_genomes_isolates	
BTO:0000130	8	NCBITaxon:1679001	Pasteurellaceae bacterium NI1060	3	TRUE	annotated_genomes_isolates	
BTO:0000130	9	NCBITaxon:243365	Chromobacterium violaceum ATCC 12472	3	TRUE	annotated_genomes_isolates	
BTO:0000130	10	NCBITaxon:354242	Campylobacter jejuni subsp. jejuni 81-176	3	TRUE	annotated_genomes_isolates	
BTO:0000130	11	NCBITaxon:573	Klebsiella pneumoniae	3	TRUE	annotated_genomes_isolates	
BTO:0000130	12	NCBITaxon:72407	Klebsiella pneumoniae subsp. pneumoniae	3	TRUE	annotated_genomes_isolates	
BTO:0000131	1	NCBITaxon:1322345	Escherichia coli ATCC 25922	3	TRUE	annotated_genomes_isolates	
BTO:0000131	2	NCBITaxon:1415606	Bifidobacterium animalis subsp. lactis CECT 8145	3	TRUE	annotated_genomes_isolates	
BTO:0000131	3	NCBITaxon:1718	Corynebacterium glutamicum	3	TRUE	annotated_genomes_isolates	
BTO:0000131	4	NCBITaxon:203119	Acetivibrio thermocellus ATCC 27405	3	TRUE	annotated_genomes_isolates	
BTO:0000131	5	NCBITaxon:214092	Yersinia pestis CO92	3	TRUE	annotated_genomes_isolates	
BTO:0000131	6	NCBITaxon:273075	Thermoplasma acidophilum DSM 1728	3	TRUE	annotated_genomes_isolates	
BTO:0000131	7	NCBITaxon:287	Pseudomonas aeruginosa	3	TRUE	annotated_genomes_isolates	
BTO:0000131	8	NCBITaxon:316407	Escherichia coli str. K-12 substr. W3110	3	TRUE	annotated_genomes_isolates	
BTO:0000131	9	NCBITaxon:32002	Achromobacter denitrificans	3	TRUE	annotated_genomes_isolates	
BTO:0000131	10	NCBITaxon:354242	Campylobacter jejuni subsp. jejuni 81-176	3	TRUE	annotated_genomes_isolates	
BTO:0000131	11	NCBITaxon:47885	Pseudomonas oryzihabitans	3	TRUE	annotated_genomes_isolates	
BTO:0000131	12	NCBITaxon:51665	Aerococcus urinaeequi	3	TRUE	annotated_genomes_isolates	
BTO:0000131	13	NCBITaxon:525919	Anaerococcus prevotii DSM 20548	3	TRUE	annotated_genomes_isolates	
BTO:0000131	14	NCBITaxon:76759	Pseudomonas monteilii	3	TRUE	annotated_genomes_isolates	
BTO:0000131	15	NCBITaxon:83655	Leclercia adecarboxylata	3	TRUE	annotated_genomes_isolates	
BTO:0000138	1	NCBITaxon:1329902	Mannheimia haemolytica MhBrain2012	3	TRUE	annotated_genomes_isolates	
BTO:0000141	1	NCBITaxon:1341644	Pseudomonas aeruginosa WS136	3	TRUE	annotated_genomes_isolates	
BTO:0000141	2	NCBITaxon:220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	3	TRUE	annotated_genomes_isolates	
BTO:0000141	3	NCBITaxon:306537	Corynebacterium jeikeium K411	3	TRUE	annotated_genomes_isolates	
BTO:0000141	4	NCBITaxon:61645	Enterobacter asburiae	3	TRUE	annotated_genomes_isolates	
BTO:0000142	1	NCBITaxon:12455		4	TRUE	annotated_genomes_isolates	
BTO:0000142	2	NCBITaxon:147802	Lactobacillus iners	4	TRUE	environmental_samples	
BTO:0000142	3	NCBITaxon:1578	Lactobacillus	4	TRUE	environmental_samples	
BTO:0000142	4	NCBITaxon:1601	Ligilactobacillus agilis	4	TRUE	environmental_samples	
BTO:0000142	5	NCBITaxon:168808	Sneathia	4	TRUE	environmental_samples	
BTO:0000142	6	NCBITaxon:2701	Gardnerella	4	TRUE	environmental_samples	
BTO:0000142	7	NCBITaxon:82135	Fannyhessea vaginae	4	TRUE	environmental_samples	
BTO:0000142	8	NCBITaxon:838	Prevotella	4	TRUE	environmental_samples	
BTO:0000142	9	NCBITaxon:84107	Coriobacteriaceae	4	TRUE	environmental_samples	
BTO:0000142	10	NCBITaxon:1117644	Mycoplasmopsis canis PG 14	3	TRUE	annotated_genomes_isolates	
BTO:0000142	11	NCBITaxon:1131452	Mycoplasmopsis canis UF31	3	TRUE	annotated_genomes_isolates	
BTO:0000142	12	NCBITaxon:1131453	Mycoplasmopsis canis UF33	3	TRUE	annotated_genomes_isolates	
BTO:0000142	13	NCBITaxon:1131454	Mycoplasmopsis canis UFG1	3	TRUE	annotated_genomes_isolates	
BTO:0000142	14	NCBITaxon:1131455	Mycoplasmopsis canis UFG4	3	TRUE	annotated_genomes_isolates	
BTO:0000142	15	NCBITaxon:1133849	Nocardia brasiliensis ATCC 700358	3	TRUE	annotated_genomes_isolates	
BTO:0000142	16	NCBITaxon:1177117	Vreelandella stevensii S18214	3	TRUE	annotated_genomes_isolates	
BTO:0000142	17	NCBITaxon:1189613	Staphylococcus massiliensis CCUG 55927	3	TRUE	annotated_genomes_isolates	
