study_gold_id	path_count	paths
Gs0053056	9	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Coastal > Sediment|Environmental > Aquatic > Marine > Intertidal zone|Environmental > Aquatic > Marine > Intertidal zone > Salt pond sediment|Environmental > Aquatic > Marine > Intertidal zone > Sediment|Environmental > Aquatic > Marine > Oceanic > Oil-contaminated sediment|Environmental > Aquatic > Non-marine Saline and Alkaline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Sediment
Gs0053062	1	Environmental > Terrestrial > Deep subsurface
Gs0053063	3	Environmental > Terrestrial > Soil > Boreal forest/Taiga|Environmental > Terrestrial > Soil > Grasslands|Environmental > Terrestrial > Soil > Temperate forest
Gs0053064	2	Environmental > Terrestrial > Soil > Temperate forest > Bulk soil|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0053068	5	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lentic|Environmental > Aquatic > Freshwater > Lentic > Epilimnion|Environmental > Aquatic > Freshwater > Lentic > Hypolimnion|Environmental > Aquatic > Freshwater > Lentic > Sediment
Gs0053069	1	Host-associated > Plants > Roots > Rhizosphere
Gs0053071	1	Environmental > Terrestrial > Soil > Wetlands > Peat
Gs0053073	7	Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Loam > Grasslands|Host-associated > Plants > Roots|Host-associated > Plants > Roots > Endosphere|Host-associated > Plants > Roots > Rhizoplane > Endophytes|Host-associated > Plants > Roots > Rhizosphere|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0053074	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Oceanic
Gs0053075	3	Environmental > Aquatic > Freshwater > Ice|Environmental > Terrestrial > Soil > Desert|Environmental > Terrestrial > Soil > Sand > Desert
Gs0053077	2	Environmental > Terrestrial > Soil > Grasslands|Environmental > Terrestrial > Soil > Loam > Grasslands
Gs0053102	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut
Gs0053113	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0053258	1	Engineered > Food production > Fermented beverages
Gs0053288	3	Environmental > Aquatic > Freshwater > Groundwater|Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage|Environmental > Aquatic > Freshwater > Groundwater > Mine drainage
Gs0054916	2	Environmental > Aquatic > Thermal springs|Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0054941	1	Environmental > Aquatic > Freshwater > Lotic
Gs0054947	1	Environmental > Aquatic > Marine > Intertidal zone > Microbialites
Gs0054948	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut > Paunch/P3 segment
Gs0054992	1	Engineered > Biotransformation > Microbial enhanced oil recovery
Gs0055699	1	Environmental > Aquatic > Marine
Gs0055706	1	Environmental > Terrestrial > Soil
Gs0055710	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0055711	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0055712	1	Environmental > Aquatic > Marine > Intertidal zone > Beach/Shore
Gs0055713	1	Host-associated > Annelida > Integument > Cuticle > Epibionts
Gs0055715	1	Environmental > Aquatic > Marine > Oceanic
Gs0055716	6	Environmental > Aquatic > Marine > Intertidal zone|Environmental > Aquatic > Marine > Intertidal zone > Coral reef|Environmental > Aquatic > Marine > Oceanic|Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Thalassic
Gs0055717	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0055718	1	Environmental > Aquatic > Marine > Fossil > Whale fall
Gs0055719	1	Engineered > Modeled > Simulated communities (sequence read mixture) > Sanger
Gs0055721	1	Environmental > Terrestrial > Soil > Clay > Contaminated
Gs0055724	2	Environmental > Aquatic > Marine > Intertidal zone|Environmental > Aquatic > Marine > Intertidal zone > Coral reef
Gs0055726	1	Environmental > Aquatic > Marine > Intertidal zone > Microbialites
Gs0055728	1	Host-associated > Invertebrates > Cnidaria
Gs0055729	2	Host-associated > Arthropoda: Insects > Digestive system > Gut|Host-associated > Arthropoda: Insects > Whole body
Gs0055731	1	Host-associated > Mammals: Human > Respiratory system > Sputum/Phlegm
Gs0055735	2	Engineered > Bioreactor > EBPR > Anaerobic-Aerobic > Sludge|Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor
Gs0055737	2	Environmental > Air > Indoor Air|Environmental > Air > Outdoor Air
Gs0055738	1	Environmental > Aquatic > Freshwater > Lentic > Sediment
Gs0055739	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0055743	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Periodontal pockets
Gs0055744	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds > Microbial mats
Gs0055745	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0055748	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0055749	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0055751	1	Environmental > Terrestrial > Soil > Fossil
Gs0055752	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water
Gs0056599	1	Host-associated > Annelida > Integument
Gs0056600	1	Environmental > Terrestrial > Soil > Clay > Contaminated
Gs0056601	2	Environmental > Aquatic > Marine > Neritic zone/Coastal water|Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0056603	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water
Gs0056604	1	Host-associated > Mammals: Human > Digestive system > Oral cavity
Gs0056608	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0056616	1	Environmental > Aquatic > Freshwater > Drinking water > Delivery networks
Gs0056617	3	Environmental > Aquatic > Marine > Oceanic > Abyssal plane|Environmental > Aquatic > Marine > Oceanic > Aphotic zone|Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0056618	1	Environmental > Aquatic > Freshwater > Groundwater > Mine
Gs0056620	1	Host-associated > Plants > Roots > Endosphere
Gs0056621	1	Engineered > Bioremediation > Hydrocarbon > Benzene > Bioreactor
Gs0056622	1	Engineered > Bioremediation > Tetrachloroethylene and derivatives > Chloroethene > Bioreactor
Gs0056623	1	Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic) > Activated sludge
Gs0056624	1	Environmental > Aquatic > Marine > Intertidal zone
Gs0056628	1	Engineered > Solid waste > Wood > Composting > Bioreactor
Gs0056629	1	Host-associated > Arthropoda: Insects > Larva > Gut
Gs0056632	1	Host-associated > Mammals > Digestive system > Stomach > Forestomach
Gs0056633	1	Environmental > Terrestrial > Soil > Fossil
Gs0056634	1	Environmental > Terrestrial > Soil > Fossil
Gs0056635	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0056639	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0056641	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0056643	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0056644	1	Environmental > Aquatic > Marine > Intertidal zone
Gs0056645	1	Environmental > Aquatic > Marine > Cold seeps
Gs0056646	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds > Microbial mats
Gs0056647	1	Environmental > Aquatic > Marine > Oceanic
Gs0056648	2	Environmental > Aquatic > Freshwater > Groundwater|Environmental > Aquatic > Freshwater > Groundwater > Contaminated
