canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Engineered > Food production > Fish products > Fermented fish	Engineered	Food production	Fish products	Fermented fish		Fermented fish	4	2	1	0	0	1	gold.ecosystem:6969|gold.ecosystem:6970
Engineered > Food production > Meat products > Cooked meat > Cooked blood	Engineered	Food production	Meat products	Cooked meat	Cooked blood	Cooked blood	5	1	1	0	0	1	gold.ecosystem:6495
Engineered > Industrial production > Chemical products > Buffer	Engineered	Industrial production	Chemical products	Buffer		Buffer	4	2	1	0	0	1	gold.ecosystem:5691|gold.ecosystem:5692
Engineered > Lab culture > Culture media > Contaminated	Engineered	Lab culture	Culture media	Contaminated		Contaminated	4	2	1	0	0	1	gold.ecosystem:5975|gold.ecosystem:5987
Engineered > Lab culture > Culture media > Fungi	Engineered	Lab culture	Culture media	Fungi		Fungi	4	2	1	0	0	1	gold.ecosystem:5979|gold.ecosystem:7776
Engineered > Lab enrichment > Percolator	Engineered	Lab enrichment	Percolator			Percolator	3	3	1	0	0	1	gold.ecosystem:7128|gold.ecosystem:7129|gold.ecosystem:7130
Engineered > Solid waste > Agricultural waste > Spent mushroom substrate	Engineered	Solid waste	Agricultural waste	Spent mushroom substrate		Spent mushroom substrate	4	2	1	0	0	1	gold.ecosystem:5801|gold.ecosystem:5802
Engineered > Solid waste > Bagasse > Composting	Engineered	Solid waste	Bagasse	Composting		Composting	4	2	1	0	0	1	gold.ecosystem:4926|gold.ecosystem:4927
Engineered > Solid waste > Brown waste > Rice straw	Engineered	Solid waste	Brown waste	Rice straw		Rice straw	4	2	1	0	0	1	gold.ecosystem:6983|gold.ecosystem:6984
Engineered > Solid waste > Composting > Oil palm	Engineered	Solid waste	Composting	Oil palm		Oil palm	4	2	1	0	0	1	gold.ecosystem:5755|gold.ecosystem:5756
Engineered > Solid waste > Industrial waste > Composting	Engineered	Solid waste	Industrial waste	Composting		Composting	4	2	1	0	0	1	gold.ecosystem:4938|gold.ecosystem:4939
Engineered > Solid waste > Industrial waste > Fruit processing	Engineered	Solid waste	Industrial waste	Fruit processing		Fruit processing	4	2	1	0	0	1	gold.ecosystem:8403|gold.ecosystem:8404
Engineered > Solid waste > Plastic waste	Engineered	Solid waste	Plastic waste			Plastic waste	3	3	1	0	0	1	gold.ecosystem:8368|gold.ecosystem:8369|gold.ecosystem:8370
Engineered > Solid waste > Unknown material > Composting > Bioreactor	Engineered	Solid waste	Unknown material	Composting	Bioreactor	Bioreactor	5	1	1	0	0	1	gold.ecosystem:4966
Engineered > Solid waste > Vegetable	Engineered	Solid waste	Vegetable			Vegetable	3	3	1	0	0	1	gold.ecosystem:4932|gold.ecosystem:5945|gold.ecosystem:5946
Engineered > WWTP > Anaerobic digester	Engineered	WWTP	Anaerobic digester			Anaerobic digester	3	3	1	0	0	1	gold.ecosystem:5476|gold.ecosystem:8258|gold.ecosystem:8259
Engineered > Wastewater > Anaerobic digestor	Engineered	Wastewater	Anaerobic digestor			Anaerobic digestor	3	3	1	0	0	1	gold.ecosystem:3510|gold.ecosystem:3840|gold.ecosystem:4271
Engineered > Wastewater > Industrial wastewater > Petroleum reservoir > Produced water	Engineered	Wastewater	Industrial wastewater	Petroleum reservoir	Produced water	Produced water	5	1	1	0	0	1	gold.ecosystem:7639
