identifier	slug
BTO:0004849	pharyngeal_gland
BTO:0004857	ookinete
BTO:0004983	ma_104_cell
BTO:0004998	gingival_epithelium
BTO:0005030	hela_229_cell
BTO:0005053	midgut_epithelium
BTO:0005055	scale
BTO:0005122	ovarian_cyst
BTO:0005189	head_kidney
BTO:0005257	oropharynx
BTO:0005312	amoeba
BTO:0005373	oil_secretion
BTO:0005436	panicle
BTO:0005441	lateral_root
BTO:0005445	rectal_epithelium
BTO:0005516	wood
BTO:0005655	th17_cell
BTO:0005692	column
BTO:0005704	milk_gland
BTO:0005810	immune_system
BTO:0005937	intestinal_epithelial_cell
BTO:0005992	pseudostem
BTO:0006181	buffy_coat
BTO:0006313	taproot
BTO:0006350	polyp
BTO:0006474	rhizoid
BTO:0006514	foreleg
ENVO:00000000	geographic_feature
ENVO:00000003	mine_tailing
ENVO:00000011	garden
ENVO:00000012	hydrographic_feature
ENVO:00000014	canal
ENVO:00000015	ocean
ENVO:00000016	sea
ENVO:00000019	saline_lake
ENVO:00000020	lake
ENVO:00000021	freshwater_lake
ENVO:00000022	river
ENVO:00000023	stream
ENVO:00000025	reservoir
ENVO:00000026	well
ENVO:00000027	spring
ENVO:00000029	watercourse
ENVO:00000031	wadi
ENVO:00000032	bay
ENVO:00000033	pond
ENVO:00000035	marsh
ENVO:00000036	irrigation_canal
ENVO:00000037	ditch
ENVO:00000038	lagoon
ENVO:00000039	fjord
ENVO:00000040	waterfall
ENVO:00000043	wetland_area
ENVO:00000044	peatland
ENVO:00000045	estuary
ENVO:00000050	geyser
ENVO:00000051	hot_spring
ENVO:00000053	freshwater_marsh
ENVO:00000054	saline_marsh
ENVO:00000055	saline_evaporation_pond
ENVO:00000057	mangrove_swamp
ENVO:00000063	water_body
ENVO:00000064	road
ENVO:00000065	railway
ENVO:00000067	cave
ENVO:00000068	tunnel
ENVO:00000070	human_construction
ENVO:00000073	building
ENVO:00000074	dam
ENVO:00000075	bridge
ENVO:00000076	mine
ENVO:00000077	agricultural_ecosystem
ENVO:00000078	farm
ENVO:00000081	mountain
ENVO:00000083	hill
ENVO:00000084	mountain_pass
